text,label,location
"Interested in a #job in #Columbus, GA? This could be a great fit: https://t.co/YmLlHRWh6a #Transportation #Hiring #CareerArc",0,"[-84.9877094, 32.4609764]"
"APRS-IS for Win32 (@ Practice With The Bestiw in Virginia Beach, VA) https://t.co/eMvCwlWubB",0,"[-76.16481721, 36.86911941]"
"Can you recommend anyone for this #job in #CottonwoodFalls, KS? https://t.co/bw4E7XTnkH #Finance #Hiring #CareerArc",0,"[-96.5427845, 38.3722364]"
Lane restrictions lifted in #Innerbelt on I-90 EB between I-77 and Superior Ave #traffic https://t.co/IXfI2jHBEJ,0,"[-81.67952, 41.49531]"
"N4TRQ-15 Near Practice With The Bestiw, Virginia Beach, VA https://t.co/wib5TyOdAh #APRS 13b",0,"[-76.16517, 36.86933]"
"As June comes to an end, so does my look at the eccentric cool, Robert Mapplethorpe. This was the last self portrai… https://t.co/n9j8nqHZgV",0,"[-118.38892693, 34.08721541]"
"4Th of July weekend https://t.co/mzBf3zIodh Quantity.
Queen Bed.Dresser.Mirror,and one nightstand.
2427 Grand Conco… https://t.co/sgEs2X6NTP",0,"[-73.8612901, 40.84584124]"
"Y’all know I couldn’t come west without bringing the #WattsWave

Catch me spinning today in Oakland from 2-3pm with… https://t.co/HcwKKewIo9",0,"[-122.26904, 37.8023499]"
"Well dressed people.
_

#sonya7iii #cinematicphotography #somewheretravel #imaginarymagnitude #phroommagazine… https://t.co/FJjMw8mDA8",0,"[-73.94472222, 40.66305556]"
"Just posted a photo @ The Moorings Marina, Tortola, British Virgin Islands https://t.co/Adqae8unkN",0,"[-64.61464743, 18.42619215]"
"Episode 108 of Pop Culture Confidential, my extra special interview with TV legend Henry Winkler! And he could not… https://t.co/Pla2OVCkkj",0,"[-118.243, 34.0522]"
Cleared: Incident on #GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,0,"[-73.9659, 40.854148]"
😑 RT @chelzwho: @Quisaveli Gimme a dollar lol Big money,0,"[-114.241108, 33.657314]"
Exploring #highfalls on our first little trip away with the babe this weekend jessicafrasz #wakkawakkawalker @ High… https://t.co/ZMg9qPm2p6,0,"[-74.1222, 41.8269]"
"PLAYING CATCH-UP DIS WEEKEND🤦🤦 #WRKFLO #GOODMONEY💸💸 #SWAMPED #BUTENJOYEDMYBDAITHO 😘😘😋😋 @ Chesterfield, Virginia https://t.co/Eka7ao8S6P",0,"[-77.5039, 37.3764]"
Hey is this where the party’s at ... last nights project ... I’ve always wanted to mess with the original since the… https://t.co/h1B8kSQfP1,0,"[-116.2038, 43.6141]"
Love ❤️ the skin your in embrace your body!! No matter what size we are all beautiful 😈 ps: inspired by miss Kim Ka… https://t.co/bZ5hGv3IB6,0,"[-96.8, 32.7833]"
Temp 74.2°F Wind Chill 74.2 °F RH 80% Wind 1.4 WSW Gust 5.0 WSW SLP 30.087 in Rising slowly Rain 0.00 in Solar 70 UV 1.7 #VAWX #SWVAWX #WVWX,0,"[-81.2775, 37.24166667]"
We're #hiring! Read about our latest #job opening here: Route Service Sales Representative (4 day workweek) -… https://t.co/EJSGgZDhzZ,0,"[-93.2131232, 30.2293526]"
"I'm at US Post Office in Dumfries, VA https://t.co/FVOe7UtH9e",0,"[-77.33257698, 38.54559347]"
Kitty. #cat #catstagram #kitties #kitty #instagram #instacute #instadaily #instagramers  #instagramdaily #cute… https://t.co/yzifxihXKv,0,"[-75.33162, 40.12523]"
Come visit me at @truereligion at @southparkmallnc from 10-3pm #truereligion #southpark #southparkmall #malljob… https://t.co/pBJ7MhCre4,0,"[-80.832182, 35.152423]"
That’s a wrap for Camp JAM 2018! Thank you to all of our volunteers and to the parents for sharing your children wi… https://t.co/TfSqeN5H71,0,"[-81.17622537, 34.07459638]"
"YESSSS.... We BELIEVE in the ""IDEAS OF #STEM"" EDUCATION 💯📊💯

My boy #MYKEL ✒📊📈✏
12 yrs old.... 7th GRADE STEM STUDE… https://t.co/1utlav3Qsb",0,"[-82.81835795, 39.93361621]"
"8 weeks old and FULL of energy! #boykinsofinstagram #yetipups @ Surfside Beach, South Carolina https://t.co/XdAv4QIkvl",0,"[-78.97305556, 33.60611111]"
"Can you recommend anyone for this #job? SQL Report Developer - https://t.co/bRlAe8xgHw #Database #Orlando, FL #Hiring #CareerArc",0,"[-81.3792365, 28.5383355]"
"Got ma girl farnellmalana  rite early 🤷🏾‍♂️🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🔌🧤🤘🏾👍🏾🙌🏾💸
        I’ll Get U Right, At an Affordable… https://t.co/thn7GPxfKP",0,"[-90.5538, 30.034]"
"Did you miss our webinar on how to measure and make the most of your #Trucking company’s resources? No worries, you… https://t.co/0cEUauX996",0,"[-81.4545936, 41.5106666]"
"#memphis #memphisdesigner #customframing @ Frame Corner, Inc. https://t.co/SUa5tdm5BQ",0,"[-89.89352739, 35.10736702]"
Giving the stink eye to this joint..charged me 3 bucks for 1 tomato and 1 small head of lettuce..that tomato better… https://t.co/LfzTmHSPu7,0,"[-75.16964219, 39.92444034]"
Off to the Market with the Mayor @dawn_moncton #farmersmarket #monctonmarket #mymoncton #moncton #monctonnb @ March… https://t.co/b5qYHThn5G,0,"[-64.7783199, 46.08751]"
"Allez les Bleus!!! @ Brooklyn, New York https://t.co/M3mcVgoGqB",0,"[-73.95, 40.65]"
"I'm at JFK AirTrain - Jamaica Station in Jamaica, NY https://t.co/PAqB70xow3 https://t.co/bsyGmS1ZSy",0,"[-73.80829078, 40.69915431]"
Tonight live music in Carlsbad  83 Degrees with PSYDECAR vibing 9pm-12! psydecar 83degreescarlsbad #psydecar… https://t.co/885nRECxdN,0,"[-117.34719781, 33.16069189]"
#captionthis #eh #feedme #whataboutit #aspecialnightout #letseat #myfriends @ Fat Rice https://t.co/ZXcno3VQSg,0,"[-87.70239233, 41.93193263]"
Carolina Weather - Current Local Conditions @ 10:00 AM. #Clayton #NC #Wc https://t.co/1BiIbkMt8C,1,"[-78.328611, 35.625556]"
07:00 84F(Hi86/Lo77) Feels like 78F Wind SSE 2-&gt;3mph (Lt Air) Hum 16% Baro 29.94(+) Solar 239 UV 0.0 ET 0.040 Cloud… https://t.co/WXcBeX2L2u,0,"[-111.49328, 33.41578]"
"I'm at Rite Aid in Dumfries, VA https://t.co/6H0wFpCEMs",0,"[-77.328375, 38.561513]"
And let the games begin. #fifaworldcup #coffee #myfathercigars #donpepingarcia #seriesjj #2011 #aged #cigars… https://t.co/abnYis3iS1,0,"[-80.4447262, 25.68889429]"
"Great week of work for me at Rush Truck Centers this past week. On this sale, I was informed a month ago that we wo… https://t.co/OABTfSmztk",0,"[-118.41716281, 34.29594084]"
🚨 #DUDEALERT A lot of LOUD noises heard in Peoria last night. usabchamps starts Sunday. #stormbeforethebigstorm… https://t.co/PNQjmbFo49,0,"[-112.07638889, 33.52833333]"
I just finished canicross running 3.99 km in 58m:32s with #Endomondo #endorphins https://t.co/QiYHJj4poS,0,"[-113.6146465, 31.3334153]"
"One of the most beautiful places on Earth.   The people here are so very friendly.  If u can, take a trip down. @ A… https://t.co/DtQhml6Q5y",0,"[-77.32141733, 25.08429738]"
"I'm at Ac Hotel By Marriott Parking Garage in Dublin, OH https://t.co/j4l2su546p",0,"[-83.10742, 40.100704]"
All smiles heading into a weekend at the beach with the besties 😍 !!! I definitely am obsessed with denim skirts la… https://t.co/LSsUmkXVha,0,"[-74.6964, 39.1538]"
We're always looking for great people to join us here at AMC Theatres. Check out our latest opening!… https://t.co/cr5UJKZPV9,0,"[-80.850346, 35.353584]"
folks..... it's soccer time,0,"[-71.16246131, 44.16931324]"
This week marked another step in my career as I’m officially a Republic Airline Ambassador for floridatech Unbeliev… https://t.co/8FAJBA2Tg9,1,"[-86.31277425, 39.71809421]"
"Crevalle Jack, Jack Fish @ Biloxi, Mississippi https://t.co/eLrAOZHpCV",0,"[-88.9278, 30.412]"
"Anniversary breakfast!!! Thanks to beautiful children and the better halves (@ Waffles INcaffeinated in Beaver, PA) https://t.co/L5B5jmnx7y",0,"[-80.30251756, 40.6960905]"
LET’S TALK ABOUT FEELING STRONG 💪🏼 I remember showing up to my first day of soccer tryouts in HS and sobbing in the… https://t.co/teaUksx9xJ,0,"[-117.93163555, 33.63406947]"
"Quick turnaround (@ Rocky Mountain Warehouse Lofts in Denver, CO) https://t.co/2fZH1zBdDa",0,"[-104.99146011, 39.75273774]"
"Wind 2.2 mph SE. Barometer 30.23 in, Rising. Temperature 86.8 °F. Rain today 0.00 in. Humidity 72%",0,"[-84.51194444, 37.47472222]"
"Let us light the floor! It definitely adds to the energy!⠀
⠀
⠀
#rcbaudio_dj #idjcharleston ⠀
⠀
⠀
#charlestonwedding… https://t.co/95QtJ01Lrx",0,"[-79.95089, 32.77938]"
"Accident. two left lanes blocked in #ChevyChase on The Beltway Outer Loop at Connecticut Ave, jammed back to MD-193, delay of 13 mins",0,"[-77.07821, 39.00557]"
